"","Calculate.part.in.proportion.with.fractions","Calculate.total.in.proportion.with.fractions","Choose.operator.in.fractional.identity","Enter.Calculated.value.of.rate","Enter.Calculated.value.of.ratio","Enter.denominator.of.form.of.1","Enter.denominator.of.given.fraction.in.proportion","Enter.denominator.of.given.rate.in.proportion","Enter.denominator.of.given.unit.rate.in.proportion","Enter.given.part.in.proportion","Enter.given.total.in.proportion","Enter.numerator.of.form.of.1","Enter.numerator.of.given.fraction.in.proportion","Enter.numerator.of.given.rate.in.proportion","Enter.numerator.of.given.unit.rate.in.proportion","Enter.part.in.proportion.with.variable","Enter.proportion.label.in.denominator","Enter.proportion.label.in.numerator","Enter.total.in.proportion.with.variable"
"stu_8be3d8e138",1,0.857142857142857,1,1,0.888888888888889,0.846153846153846,0.888888888888889,0.666666666666667,0.75,0.857142857142857,0.777777777777778,0.642857142857143,0.333333333333333,0.666666666666667,1,0.888888888888889,0.9375,0.9375,1
"stu_36282dbe42",1,0.75,1,1,1,1,0.6,1,1,1,0.8,1,0.333333333333333,1,1,1,0.9,1,0.6
"stu_e59e73f573",0.875,1,1,1,0.857142857142857,0.875,0.857142857142857,1,0.75,0.875,0.833333333333333,0.866666666666667,0.571428571428571,0.75,0.8,0.857142857142857,1,0.866666666666667,0.875
"stu_66064ad725",0.666666666666667,0.714285714285714,1,1,1,1,1,1,0.333333333333333,0.857142857142857,0.857142857142857,0.416666666666667,0.6,0,1,0.6,0.5,0.666666666666667,0.833333333333333
"stu_599382196a",0.6,0.666666666666667,1,1,1,1,0.857142857142857,1,1,1,0.8,0.846153846153846,0.666666666666667,1,1,1,0.857142857142857,0.857142857142857,0.777777777777778
"stu_503b116b86",0.714285714285714,0.833333333333333,1,1,1,0.75,0.428571428571429,0.666666666666667,0.666666666666667,0.571428571428571,0.888888888888889,0.571428571428571,0.285714285714286,0.666666666666667,0.666666666666667,0.625,0.8125,0.733333333333333,0.666666666666667
"stu_6bb43036ad",0.888888888888889,1,1,1,1,0.909090909090909,0.75,1,0.2,1,0.714285714285714,0.909090909090909,0.4,1,1,0.285714285714286,0.916666666666667,0.833333333333333,0.666666666666667
"stu_8955abff61",0.6,1,1,1,1,1,1,0.666666666666667,1,1,0.75,0.833333333333333,1,1,0.5,0.333333333333333,0.857142857142857,0.857142857142857,1
"stu_a65ee4f46a",0.75,0.888888888888889,1,1,1,0.944444444444444,0.777777777777778,1,1,0.888888888888889,1,0.882352941176471,0.444444444444444,0.8,0.75,1,1,0.764705882352941,0.8
"stu_f9b4acb7bc",0.5,1,1,1,1,0.571428571428571,1,1,0.75,0.666666666666667,0.428571428571429,0.5,0.666666666666667,1,0.5,0.625,1,0.727272727272727,0.666666666666667
"stu_c0f3f26da3",1,0.625,1,1,0.857142857142857,0.9375,0.5,1,1,0.888888888888889,0.857142857142857,1,0.285714285714286,1,0.4,0.857142857142857,0.733333333333333,0.666666666666667,0.857142857142857
"stu_0fac44274f",1,1,1,0.857142857142857,1,0.769230769230769,0.625,1,1,0.571428571428571,1,0.8125,0.5,0.666666666666667,1,0.5,0.875,0.9375,0.75
"stu_d02d9da241",0.6,1,1,1,0.75,0.777777777777778,0.75,1,1,1,1,0.666666666666667,0.666666666666667,1,1,0.8,1,1,0.75
"stu_f860653782",0.833333333333333,1,1,0.875,1,1,1,1,1,1,1,1,0.833333333333333,1,1,0.714285714285714,0.928571428571429,0.928571428571429,0.714285714285714
"stu_02f4a0118f",1,0.666666666666667,1,0.6,1,1,0.333333333333333,0.666666666666667,0.5,1,0.6,0.875,0.5,0.666666666666667,1,1,1,1,1
"stu_bbb48a3dc9.1",0,0.25,1,1,1,0.8,0.6,0.428571428571429,1,0.3,0.666666666666667,0.166666666666667,0.75,0.166666666666667,0,0.75,1,0.666666666666667,0.888888888888889
"stu_6eed4e0f99",1,0.875,1,1,0.9,1,0.7,1,0.666666666666667,0.857142857142857,0.75,1,0.444444444444444,0.666666666666667,1,0.75,0.9375,0.933333333333333,0.75
"stu_b8c3a2ee2b",0.8,0.857142857142857,1,1,1,1,0.75,1,1,0.571428571428571,1,0.833333333333333,0.6,0.75,1,1,0.916666666666667,0.75,0.857142857142857
"stu_5358ad2e70",1,1,1,1,1,1,0.818181818181818,1,1,1,0.818181818181818,0.941176470588235,0.272727272727273,0.75,0.75,0.727272727272727,0.944444444444444,0.888888888888889,0.75
"stu_125958acea",0.75,1,1,1,1,0.823529411764706,0.857142857142857,0.75,1,0.875,0.777777777777778,0.444444444444444,0.714285714285714,1,0.833333333333333,0.777777777777778,1,1,1
"stu_1c16fba4b5",0.777777777777778,1,1,1,1,1,0.714285714285714,0.75,1,0.857142857142857,0.888888888888889,1,0.5,1,0.6,0.666666666666667,1,0.75,1
"stu_a3eaea786f",0.75,0.857142857142857,1,1,1,0.923076923076923,0.714285714285714,1,0.666666666666667,0.857142857142857,0.857142857142857,0.666666666666667,0.333333333333333,0.5,1,0.714285714285714,1,1,0.75
"stu_1534fd0e18",1,1,1,1,0.923076923076923,1,0.9,1,1,1,1,0.9375,0.181818181818182,1,1,0.833333333333333,0.8125,0.933333333333333,0.8
"stu_20eb4dd0fd",1,0.888888888888889,1,1,1,1,0.833333333333333,0.8,1,0.857142857142857,0.857142857142857,1,0.6,0.8,1,0.714285714285714,0.875,0.875,0.666666666666667
"stu_1bb4b1ab06",0.777777777777778,0.833333333333333,1,1,0.909090909090909,0.866666666666667,0.5,1,1,1,0.6,0.733333333333333,0.25,1,0.333333333333333,0.875,0.875,0.6,0.8
"stu_a781da86f3",0.875,0.875,1,1,1,0.933333333333333,0.875,0.75,0.75,0.875,1,0.8125,0.666666666666667,1,1,1,1,1,1
"stu_007f490b97",0.875,1,1,1,1,0.9375,0.888888888888889,1,0.8,0.777777777777778,1,0.875,0.571428571428571,1,0.833333333333333,1,0.882352941176471,0.705882352941177,0.666666666666667
"stu_95eca26c16",0.75,0.888888888888889,1,1,1,0.857142857142857,0.818181818181818,1,0.75,0.9,0.75,0.875,0.333333333333333,1,1,0.75,0.944444444444444,0.833333333333333,0.9
"stu_31974f345f",1,0.777777777777778,1,1,1,1,0.8,1,0.75,0.875,1,1,0.375,1,0.75,1,0.9375,1,0.75
"stu_e521a15f7c",1,0.8,1,0.875,0.857142857142857,0.933333333333333,0.5,0.666666666666667,0.666666666666667,0.909090909090909,0.6,0.928571428571429,0.571428571428571,0.75,0.75,0.75,0.9375,0.866666666666667,0.3
"stu_05ea14fe6a",0.714285714285714,0.857142857142857,1,1,0.888888888888889,0.857142857142857,0.888888888888889,1,1,0.571428571428571,1,0.785714285714286,0.25,1,1,0.833333333333333,1,1,1
"stu_34c5cc05f5",0.444444444444444,0.714285714285714,1,0.875,1,0.555555555555556,0.5,0.75,0.5,0.833333333333333,1,0.214285714285714,0.2,0.75,1,0.444444444444444,0.933333333333333,0.8,0.857142857142857
"stu_1d97983771",1,1,1,1,1,1,1,1,0.6,0.666666666666667,0.666666666666667,1,0.375,1,0.8,0.75,0.8125,0.875,0.833333333333333
"stu_b11b8aa58e",0.333333333333333,0.5,1,0.875,1,0.75,1,0.5,0.4,0.666666666666667,0.571428571428571,0.416666666666667,0,0.5,0.5,0.5,0.923076923076923,0.846153846153846,0.5
"stu_ca85a369b6",1,0.875,1,0.888888888888889,1,0.875,0.857142857142857,0.8,0.75,1,1,0.875,0.428571428571429,0.8,1,0.75,1,1,0.857142857142857
"stu_293d3cca60",0.833333333333333,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,0.833333333333333,1,0.9,1
"stu_3935526552",0.875,0.75,1,1,0.888888888888889,0.9375,0.875,1,1,0.714285714285714,0.875,0.8125,0.333333333333333,0.5,0.5,0.571428571428571,0.9375,0.866666666666667,0.75
"stu_e1ec369fe5",1,1,1,1,1,1,1,1,0.5,0.666666666666667,0.75,0.666666666666667,0.333333333333333,1,1,0.75,0.857142857142857,0.428571428571429,1
"stu_d40252ac21",1,0.666666666666667,1,1,1,0.9,0.5,1,0.5,1,0.857142857142857,0.9,0.25,0.5,0.666666666666667,0.6,1,0.777777777777778,1
"stu_52750df48a",0.8,0.857142857142857,1,1,0.833333333333333,0.928571428571429,1,0.666666666666667,0.8,0.25,0.4,0.846153846153846,0.6,1,0.8,0.5,0.857142857142857,1,1
"stu_8955abff61.1",0.6,1,1,1,1,1,1,0.666666666666667,1,1,0.75,0.833333333333333,1,1,0.5,0.333333333333333,0.857142857142857,0.857142857142857,1
"stu_293d3cca60.1",0.833333333333333,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,0.833333333333333,1,0.9,1
"stu_c0370a96ba",0.714285714285714,0.833333333333333,1,0.875,0.875,0.666666666666667,0.625,0.666666666666667,0.666666666666667,0.666666666666667,0.625,0.5,0.25,0.666666666666667,0.6,0.666666666666667,0.9375,0.9375,1
"stu_0468a3445f",0.5,1,1,1,0.8,0.833333333333333,0.666666666666667,1,0.666666666666667,0.8,0.666666666666667,0.75,0.2,1,0.666666666666667,0.5,0.727272727272727,0.636363636363636,0.4
"stu_9f1cf659ca",1,1,1,1,0.8,0.928571428571429,0.6,1,1,0.75,1,0.785714285714286,0.666666666666667,1,0.444444444444444,0.857142857142857,0.75,0.875,0.777777777777778
"stu_27ed7e8142",1,1,1,1,1,0.666666666666667,0.5,1,1,1,1,0.666666666666667,0.25,1,1,0.5,1,0.666666666666667,0.5
"stu_bd67d2880a",1,1,1,1,1,1,0.75,1,1,1,1,0.909090909090909,0.75,1,0.75,0.833333333333333,0.818181818181818,0.636363636363636,1
"stu_4747c1ddef",0.428571428571429,0.666666666666667,1,1,0.857142857142857,0.769230769230769,0.666666666666667,1,0.6,1,0.875,0.769230769230769,0.5,1,0.666666666666667,0.857142857142857,1,1,1
"stu_05f4b1b59f",1,1,1,1,0.833333333333333,1,0.833333333333333,1,1,1,1,1,0.666666666666667,1,1,0.857142857142857,1,0.923076923076923,0.833333333333333
"stu_5c6dd20e66",1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,0,0.333333333333333,1,0.8,0.5
"stu_4fef9f1322",0.6,0.8,1,0.9,0.857142857142857,0.733333333333333,0.857142857142857,0.75,0.833333333333333,1,0.777777777777778,0.684210526315789,0.5,1,0.666666666666667,0.555555555555556,1,0.9375,0.888888888888889
"stu_6fff4c0230",0.666666666666667,1,1,1,1,0.857142857142857,1,1,1,0,0.333333333333333,0.857142857142857,0.25,1,0.5,1,0.857142857142857,1,1
"stu_d7170d7b87",1,1,1,0.857142857142857,1,0.916666666666667,0.666666666666667,1,0.4,0.6,0.428571428571429,0.916666666666667,0.5,0.5,0.4,0.571428571428571,0.916666666666667,0.75,0.6
"stu_1c16fba4b5.1",0.777777777777778,1,1,1,1,1,0.714285714285714,0.75,1,0.857142857142857,0.888888888888889,1,0.5,1,0.6,0.666666666666667,1,0.75,1
"stu_bc51be8622",0.666666666666667,1,1,1,1,0.833333333333333,0.833333333333333,1,1,1,0.666666666666667,0.833333333333333,0.666666666666667,1,1,0.666666666666667,0.916666666666667,0.833333333333333,0.666666666666667
"stu_409c63f1d9",0.666666666666667,1,1,1,1,0.833333333333333,1,1,0.5,0.666666666666667,1,0.833333333333333,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.833333333333333,1
"stu_9be4276a64",0.857142857142857,0.888888888888889,1,1,0.875,1,0.666666666666667,0.75,0.75,1,1,0.9375,0.333333333333333,1,1,0.625,1,1,0.666666666666667
"stu_4a52c7f1c9",1,0.888888888888889,1,1,1,0.9375,0.75,1,1,0.888888888888889,1,0.9375,0.75,1,0.444444444444444,0.714285714285714,0.875,0.875,0.666666666666667
"stu_bcdf1aa2d7",0.666666666666667,0.333333333333333,1,0.888888888888889,1,1,0.857142857142857,0.75,1,0.7,0.833333333333333,0.307692307692308,0.75,1,0.75,0.5,0.9375,0.866666666666667,0.666666666666667
"stu_3b0ec5c155",0.818181818181818,1,1,0.916666666666667,0.833333333333333,0.928571428571429,0.6,1,0.75,0.2,0.333333333333333,0.625,0.5,1,0.2,0.444444444444444,0.764705882352941,0.615384615384615,0.6
"stu_96a362e172",0.666666666666667,0.833333333333333,1,1,1,1,1,1,1,1,1,0.666666666666667,0.5,1,1,0.777777777777778,1,0.933333333333333,0.666666666666667
"stu_093e6149d7",1,1,1,0.833333333333333,0.8,0.8,1,1,1,1,0.875,1,0.666666666666667,1,0.6,0.571428571428571,0.916666666666667,0.833333333333333,0.75
"stu_f910df87ae",1,1,1,1,1,0.8,1,1,1,1,0.75,0.8,0.333333333333333,1,1,0.75,1,1,1
"stu_7eff5f4168",1,0.75,1,1,0.833333333333333,1,0.5,0.5,1,1,0.75,1,0.5,0.666666666666667,1,0.571428571428571,0.818181818181818,0.9,0.666666666666667
"stu_b75f44e650.1",0.714285714285714,0.714285714285714,1,1,0.888888888888889,0.7,0.555555555555556,1,1,1,0.875,0.722222222222222,0.333333333333333,0.5,0.666666666666667,0.875,0.941176470588235,0.9375,0.833333333333333
"stu_5abb1f2c3f",1,0.857142857142857,1,0.909090909090909,1,1,1,0.5,0.75,0.857142857142857,0.888888888888889,1,0.75,1,1,1,0.9375,0.9375,0.857142857142857
"stu_4fbb744284",1,0.75,1,0.666666666666667,0.8,0.785714285714286,0.666666666666667,1,0.75,0.875,0.625,0.6875,0.4,1,0.75,0.571428571428571,0.882352941176471,0.823529411764706,0.625
"stu_0bf8b58842",0.8,1,1,1,1,1,0.75,1,1,1,1,0.777777777777778,0.75,1,1,0.8,0.888888888888889,1,0.75
"stu_30fd6cb19e",0.9,1,1,1,1,1,1,1,1,0.8,1,1,0.625,1,0.8,0.7,0.9375,1,0.8
"stu_8abf6cf3bb",0.444444444444444,0.333333333333333,1,1,0.777777777777778,0.714285714285714,0.625,0.6,0.8,0.8,0.727272727272727,0.526315789473684,0.25,0.75,0.666666666666667,0.272727272727273,0.888888888888889,0.444444444444444,0.8
"stu_231c4a5d82",0.7,1,1,1,1,0.933333333333333,0.833333333333333,1,0.833333333333333,1,0.909090909090909,0.692307692307692,0.166666666666667,1,0.5,0.625,0.8125,1,1
"stu_f583311842",1,0.833333333333333,1,1,0.833333333333333,1,1,1,1,1,1,0.833333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.833333333333333,1,1,0.666666666666667
"stu_05a9a5c723",0.888888888888889,1,1,1,1,0.857142857142857,0.7,1,1,1,1,0.8125,0.333333333333333,1,1,0.75,1,0.8125,0.666666666666667
"stu_ba54353023.1",0.8,1,1,0.857142857142857,1,1,0.625,0.666666666666667,1,0.6,0.6,0.933333333333333,0.375,1,0.25,0.8,0.8,0.466666666666667,0.6
"stu_a1b1527991",0.777777777777778,1,1,1,1,0.846153846153846,0.75,1,0.8,0.8,0.666666666666667,0.588235294117647,0.5,1,0.833333333333333,0.6,1,0.941176470588235,1
"stu_4e966cc735",1,0.875,1,1,0.833333333333333,0.875,0.571428571428571,1,1,0.666666666666667,0.714285714285714,0.9375,0.5,1,0.75,0.714285714285714,0.941176470588235,0.6,0.888888888888889
"stu_0f3b28c6e0",0.625,1,1,0.8,0.857142857142857,0.727272727272727,0.714285714285714,1,1,1,1,0.818181818181818,0.428571428571429,0.666666666666667,1,0.571428571428571,0.916666666666667,1,0.6
"stu_9725bc0b28",0.8,1,1,1,0.8,0.9,0.8,1,0.25,1,1,1,0.333333333333333,1,1,0.6,0.9,0.9,0.6
"stu_5cde4f5401",0.333333333333333,1,1,1,1,0.8,0.5,1,1,0.666666666666667,1,0.666666666666667,0,1,1,0,0.833333333333333,0.833333333333333,0.666666666666667
"stu_eb6c5bc519",1,1,1,1,1,0.928571428571429,0.5,0.666666666666667,0.8,1,0.875,0.928571428571429,0.8,1,0.6,0.75,0.933333333333333,1,1
"stu_347fb82fa3",0.777777777777778,0.833333333333333,1,0.666666666666667,0.857142857142857,0.785714285714286,0.571428571428571,0.8,0.75,1,0.888888888888889,0.75,0.857142857142857,0.75,0.75,0.875,1,0.875,0.714285714285714
"stu_351c2f582a",1,1,1,0.875,1,0.857142857142857,0.75,1,0.6,0.714285714285714,1,0.933333333333333,0.5,1,1,1,1,1,0.571428571428571
"stu_082de3abc3",0.8,0.8,1,1,1,1,0.444444444444444,0.666666666666667,0.666666666666667,0.857142857142857,0.875,0.6,0.5,1,1,0.875,0.6875,0.8,0.625
"stu_5bc300ce34",1,0.75,1,0.857142857142857,1,0.9375,0.777777777777778,0.666666666666667,0.75,0.875,1,0.9375,0.25,1,0.75,0.625,0.875,0.823529411764706,0.875
"stu_c16fc1a9a3",0.857142857142857,1,1,1,1,1,0.75,1,1,1,0.714285714285714,1,0.75,1,0.8,0.857142857142857,1,1,1
"stu_1c16fba4b5.2",0.777777777777778,1,1,1,1,1,0.714285714285714,0.75,1,0.857142857142857,0.888888888888889,1,0.5,1,0.6,0.666666666666667,1,0.75,1
"stu_6d184c31ae",1,0.625,1,1,1,1,0.875,1,1,1,0.875,0.875,0.555555555555556,1,1,0.5,0.875,0.866666666666667,0.875
"stu_b52bd79d10",1,0.5,1,1,1,0.666666666666667,0.75,1,1,0.8,1,0.714285714285714,0.5,0.5,0.5,0.666666666666667,0.875,1,0.6
"stu_3d4e66681b",1,1,1,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0,1,0.5,0.833333333333333,0.5,1,1,1,1,0.2,1
"stu_f8b679bd11",1,0.875,1,1,0.875,0.875,1,1,0.6,0.888888888888889,0.857142857142857,0.9375,0.5,1,0.8,0.857142857142857,0.666666666666667,0.666666666666667,0.777777777777778
"stu_05f4b1b59f.1",1,1,1,1,0.833333333333333,1,0.833333333333333,1,1,1,1,1,0.666666666666667,1,1,0.857142857142857,1,0.923076923076923,0.833333333333333
"stu_ec04ac74c2",0.444444444444444,0.666666666666667,1,1,0.857142857142857,1,0.857142857142857,1,0.8,0.857142857142857,0.9,0.466666666666667,0.714285714285714,1,0.8,0.7,0.941176470588235,0.764705882352941,1
"stu_74cc12c699",1,1,1,1,1,0.857142857142857,0.666666666666667,1,1,0.666666666666667,1,0.857142857142857,1,1,1,1,1,1,1
"stu_bb155deb7d",1,1,1,0.833333333333333,1,0.909090909090909,1,1,1,0.857142857142857,1,1,0.8,1,1,1,1,1,1
"stu_19c9eb62f5",0.5,0.5,1,0.923076923076923,1,0.833333333333333,0.666666666666667,0.666666666666667,0.428571428571429,0.666666666666667,0.571428571428571,0.5,0.333333333333333,1,0.666666666666667,0.571428571428571,0.9375,0.5,0.444444444444444
"stu_391e6a0057",0.75,1,1,1,1,1,0.6,1,1,0.875,1,1,0.5,0.75,1,0.75,0.909090909090909,1,0.571428571428571
"stu_2e94ec2fb6",0.8,0.857142857142857,1,0.888888888888889,1,1,1,1,0.666666666666667,0.857142857142857,1,0.916666666666667,1,1,1,1,1,1,1
"stu_9ec628896b",0.8,1,1,0.833333333333333,0.857142857142857,0.923076923076923,1,1,1,0.875,1,0.846153846153846,0.666666666666667,1,1,1,0.846153846153846,0.923076923076923,0.857142857142857
"stu_62777f48b8",1,0.666666666666667,1,1,1,0.857142857142857,0.333333333333333,1,0.5,0.25,0.75,1,0.333333333333333,1,1,0.5,1,1,0.666666666666667
"stu_e9c96ea4b2",1,0.875,1,1,1,0.9375,1,1,0.75,0.875,0.875,0.8125,0.5,1,1,0.875,0.9375,0.9375,0.75
"stu_fe4df5ed5e",1,1,1,1,1,1,0.666666666666667,0.8,0.6,0.5,0.833333333333333,0.9375,0.6,0.8,0.8,0.666666666666667,0.9375,1,0.9
"stu_cbad8bf400",1,1,1,1,1,1,0.75,1,1,0.8,0.875,1,0.625,1,1,0.714285714285714,0.923076923076923,0.769230769230769,1
"stu_4c30b17f56",0,0.666666666666667,1,1,1,1,0.5,1,1,1,1,0.6,1,0.4,0.75,0.625,0.866666666666667,0.866666666666667,0.285714285714286
"stu_959923ec5c.1",0.8,1,1,1,0.75,0.888888888888889,0.75,1,0.5,1,1,0.8,0.25,0.666666666666667,1,0.6,1,0.8,0.75
"stu_5e154fa9a8",0.333333333333333,1,1,0.8,1,0.875,0.8,0.5,0.75,0.625,0.666666666666667,0.9,0.5,1,0.5,1,1,0.545454545454545,0.6
"stu_c60bac05cc",1,1,1,1,0.777777777777778,0.933333333333333,1,1,0.4,0.666666666666667,0.5,0.933333333333333,0.4,1,0.4,0.75,0.923076923076923,0.75,0.571428571428571
"stu_3bcc80f465",1,1,1,0.75,1,0.833333333333333,0.5,1,0.666666666666667,0.666666666666667,1,0.5,1,1,0.333333333333333,1,0.833333333333333,0.25,0.666666666666667
"stu_ec93e44cf4",0,0.5,1,1,1,1,0,1,1,1,1,0.75,0,1,0,0,1,1,0.5
"stu_0077c9a27a",0.857142857142857,0.833333333333333,1,0.833333333333333,0.75,1,0.5,1,0.444444444444444,0.875,0.875,1,1,1,0.666666666666667,0.5,0.875,0.857142857142857,0.833333333333333
"stu_e1e0a70bdf",0.857142857142857,0.666666666666667,1,1,1,0.875,0.625,1,0.75,0.888888888888889,1,0.9375,0.5,1,0.75,0.833333333333333,1,0.9375,0.777777777777778
"stu_a7aa32bed1",1,1,1,1,1,0.777777777777778,0.666666666666667,1,0.666666666666667,1,1,0.888888888888889,0.666666666666667,0.666666666666667,1,0.8,0.9,0.9,1
"stu_c0f3f26da3.1",1,0.625,1,1,0.857142857142857,0.9375,0.5,1,1,0.888888888888889,0.857142857142857,1,0.285714285714286,1,0.4,0.857142857142857,0.733333333333333,0.666666666666667,0.857142857142857
"stu_0b451f30af",1,0.75,1,1,1,1,1,0.8,1,0.875,0.833333333333333,0.928571428571429,0.666666666666667,1,1,1,0.928571428571429,1,0.625
