"","Calculate.decimal.from.given.improper.fraction","Calculate.decimal.from.given.mixed.number","Calculate.decimal.from.given.percent","Calculate.improper.fraction.from.given.decimal","Calculate.improper.fraction.from.given.mixed.number","Calculate.improper.fraction.from.given.percent","Calculate.numerator.of.mixed.number.from.given.decimal","Calculate.numerator.of.mixed.number.from.given.improper.fraction","Calculate.numerator.of.mixed.number.from.given.model","Calculate.numerator.of.mixed.number.from.given.percent","Calculate.percent.from.given.decimal","Calculate.percent.from.given.improper.fraction","Calculate.percent.from.given.mixed.number","Calculate.whole.number.part.of.mixed.number.from.given.decimal","Calculate.whole.number.part.of.mixed.number.from.given.improper.fraction","Calculate.whole.number.part.of.mixed.number.from.given.model","Calculate.whole.number.part.of.mixed.number.from.given.percent","Enter.decimal.from.given.model","Enter.given.decimal","Enter.given.improper.fraction","Enter.given.percent","Enter.improper.fraction.from.given.model","Enter.numerator.of.given.mixed.number","Enter.percent.from.given.model","Enter.whole.number.part.of.given.mixed.number","Identify.that.a.mixed.number.can.cannot.be.simplified","Identify.that.an.improper.fraction.can.cannot.be.simplified"
"stu_4c0ee104e1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.777777777777778,0.777777777777778
"stu_9ab4a4c888",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_60ce9ab607",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_768aa2f2cf",0.75,1,1,1,0.666666666666667,1,1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,0.857142857142857,1,1,0.941176470588235,0.941176470588235
"stu_3022d7677c",1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.875,0.625
"stu_c5ea5bffd6",1,1,1,0.666666666666667,1,1,1,1,0.666666666666667,1,0.666666666666667,1,1,0.833333333333333,1,0.777777777777778,0.666666666666667,0.777777777777778,0.833333333333333,1,1,0.444444444444444,1,1,1,0.538461538461538,0.461538461538462
"stu_59ca4db3ed",0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.75,1,1,1,1,1,0.75,1,0.636363636363636,0.818181818181818
"stu_4d7e78a669",1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.75,1,1,1,1,0.75,1,0.75,1,0.75,1,0.909090909090909,0.909090909090909
"stu_460da071de",1,0.75,1,0.6,1,0.666666666666667,1,1,1,1,0.8,1,0.75,0.8,1,0.833333333333333,1,1,1,1,0.857142857142857,0.666666666666667,1,1,1,0.956521739130435,0.869565217391304
"stu_5cfa832514",1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,0.8,1,1,1,0.6,1,1,1,0.833333333333333,0.611111111111111
"stu_744c668d3d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,0.9,0.9
"stu_8ee0bd08fd",1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.846153846153846,0.846153846153846
"stu_dd767411eb",1,1,1,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,1,0.666666666666667,1,1,1,1,0.956521739130435
"stu_e28b0b9af2",0.75,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_d6b6f9ccba",1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,0.833333333333333,1,0.666666666666667,1,0.666666666666667,1,0.833333333333333,1,1,0.75
"stu_a4aa834e4f",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.909090909090909,0.909090909090909
"stu_0fd91b3a75",1,1,1,1,1,0.75,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.818181818181818,0.727272727272727
"stu_b59c9e619d",1,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,0.916666666666667,0.833333333333333
"stu_d32cc35689",0.75,1,1,1,1,1,0.75,1,1,0.75,0.6,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.933333333333333
"stu_01a76fb5ea",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8
"stu_a05c564007.1",0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875
"stu_608bc8a22d",1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.866666666666667,1,1,1,0.666666666666667,1,1,1,0.884615384615385,0.615384615384615
"stu_9d6befb7ec",1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,1,1,1,1,1,1,1,1,0.785714285714286,0.714285714285714
"stu_49cae3f7ed",1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_12a7c1535b",1,1,0.75,0.75,1,0.75,0.75,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,0.705882352941177,0.588235294117647
"stu_1b99d34093",1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875
"stu_8ccb569934",0.833333333333333,0.75,1,1,1,1,1,0.5,0.75,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1
"stu_1534fd0e18",1,1,0.75,0.5,0.75,0.75,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1
"stu_ee92543b19",0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_208b15486a",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.8,1,1,1,0.857142857142857,1,1,1,0.80952380952381,0.666666666666667
"stu_1b3ed91203",1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.909090909090909,1
"stu_8fa858b82c",1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0.727272727272727,0.727272727272727
"stu_e141f11a64",1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.818181818181818,1
"stu_007f490b97",1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.875
"stu_7eff5f4168",1,0.555555555555556,1,0.666666666666667,0.875,1,0.8,1,1,1,0.666666666666667,1,0.875,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,0.954545454545455,0.681818181818182
"stu_2d42fd2f8a",1,1,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,0.8,0.8,1,1,1,1,1,1,0.833333333333333,1,0.941176470588235,0.823529411764706
"stu_c50c525a24",0.75,1,0.666666666666667,1,1,1,1,1,1,1,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0.947368421052632,0.631578947368421
"stu_064752becb",1,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.909090909090909
"stu_2eafdd203e",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_e59672bf35",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333
"stu_1c16fba4b5",1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75
"stu_96dd3af3c6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.875
"stu_b149c728df",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,0.833333333333333,0.75,1,1,0.8,1,1,1,0.923076923076923,1
"stu_26d7389f7e",1,0.75,1,0.833333333333333,0.75,1,1,1,1,1,0.6,1,1,1,1,0.875,1,0.714285714285714,1,1,1,0.714285714285714,1,1,1,0.95,0.85
"stu_f8871391bb",1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,1,0.666666666666667,1,1,1,0.666666666666667,1,1,1,1
"stu_e1e0a70bdf",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1
"stu_33bbb3cc50",1,1,1,1,1,1,1,1,0.818181818181818,1,1,1,1,1,1,1,1,0.909090909090909,1,1,1,0.545454545454545,1,1,1,1,0.733333333333333
"stu_c33af1e26f",1,0.75,1,1,1,1,1,1,0.75,1,0.833333333333333,1,1,1,1,1,1,0.75,0.666666666666667,1,1,1,1,1,1,1,0.9375
"stu_b86f4e475a",1,0.8,1,1,0.75,0.6,1,1,1,1,0.5,1,1,1,1,0.833333333333333,0.6,0.833333333333333,1,1,1,0.666666666666667,1,1,1,1,0.952380952380952
"stu_e01a8fe274",0.75,1,1,0.5,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.916666666666667
"stu_e2dc8a6b1f",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_47daa30991",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,1,1,1,1,1,0.75,1,1,0.928571428571429
"stu_744c668d3d.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,0.9,0.9
"stu_26d7389f7e.1",1,0.75,1,0.833333333333333,0.75,1,1,1,1,1,0.6,1,1,1,1,0.875,1,0.714285714285714,1,1,1,0.714285714285714,1,1,1,0.95,0.85
"stu_a3eaea786f",1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.75,1,1,0.75,0.75,1,1,0.75,1,0.75,1,1,0.928571428571429
"stu_0375874c55",1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875
"stu_8955abff61",1,1,1,0.666666666666667,1,1,0.666666666666667,1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.928571428571429,0.714285714285714
"stu_247a23e7c7",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1
"stu_a1b1527991",1,1,1,1,1,1,1,1,1,1,0.6,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,0.777777777777778,0.666666666666667
"stu_3c3e0c1dc6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_e18a227e47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_0649ad56bd",1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.923076923076923,0.923076923076923
"stu_50cb974c57",1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.857142857142857,1,0.666666666666667,0.75,1,1,0.857142857142857,1,0.857142857142857,1,0.789473684210526,0.842105263157895
"stu_457052d32e",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.75,1,1,1,0.75,0.875
"stu_62777f48b8",0.666666666666667,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1
"stu_bb0cb558b6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,0.75,1,1,0.666666666666667,0.583333333333333
"stu_1b99d34093.1",1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875
"stu_a0a6c04f16",1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,0.75,1,1,1,0.769230769230769,0.769230769230769
"stu_390e504c7f",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_84fc9f207b",1,1,1,1,0.833333333333333,1,1,1,1,1,0.75,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.923076923076923,0.923076923076923
"stu_3e4fb6dbb3",0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.75,1,1,1,1,0.928571428571429,1
"stu_a157405dbe",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.75,1,1,1,0.875,0.625
"stu_fa4347de35",1,0.833333333333333,1,0.666666666666667,1,1,0.833333333333333,1,0.875,1,0.571428571428571,1,0.666666666666667,1,1,1,1,0.5,1,1,1,0.714285714285714,1,1,1,0.91304347826087,0.782608695652174
"stu_354d5dc62c",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,0.75
"stu_7fe4633932",0.666666666666667,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.611111111111111,0.666666666666667
"stu_0b6aadec4f",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_e2f1d8e73f",1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,0.75,1,1,1,1,1,0.75,1,0.8125,0.5625
"stu_e2f6616046",1,0.833333333333333,1,1,0.8,1,1,1,0.75,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,0.75,1,0.846153846153846,0.846153846153846
"stu_d598a26484",0.75,1,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.823529411764706,1
"stu_6d184c31ae",1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.875,0.875
"stu_9c5c85d736.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.625,0.625
"stu_4ee9c1f341",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,0.875,1
"stu_456713d7b0",0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.714285714285714,1,1,1,0.866666666666667,0.733333333333333
"stu_0c8646fbb4",1,1,1,1,1,1,1,0.75,0.75,1,1,1,1,0.6,0.75,1,1,0.75,1,1,1,1,1,0.75,1,0.8,0.6
"stu_2d34d461ed",0.75,1,1,0.75,1,1,1,0.75,1,1,0.75,1,0.8,1,1,1,1,1,1,1,1,0.75,0.6,1,1,0.941176470588235,0.588235294117647
"stu_74cc12c699",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,0.625
"stu_21d4b16b2f",1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,0.75,1,1,1,0.928571428571429
"stu_d067f74e3e",1,0.666666666666667,0.75,1,0.666666666666667,1,1,1,1,1,0.875,1,1,1,1,1,1,1,0.625,1,1,1,1,1,1,0.95,0.75
"stu_05ea14fe6a",1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_9e461ce83d.1",1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,0.909090909090909,0.909090909090909
"stu_fea015c39e",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_8b0c69395d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_44d5005002",1,1,1,1,1,0.8,0.8,1,1,1,1,0.8,1,1,1,0.888888888888889,1,1,0.8,1,1,0.666666666666667,1,0.888888888888889,1,1,0.961538461538462
"stu_0f81904102",0.8,0.777777777777778,0.75,1,0.714285714285714,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,0.75,1,1,1,1,1,0.75,1,0.48,0.72
"stu_f9b4acb7bc",1,1,1,1,1,1,0.8,0.8,1,1,0.8,1,1,1,0.75,1,1,1,1,1,1,0.75,1,1,1,0.8,0.666666666666667
"stu_80897a2340",1,1,1,0.5,0,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0.25,1,1,1,0.888888888888889,0.555555555555556
"stu_51ba5de77f",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_f2ab364155",1,1,1,0.833333333333333,1,1,0.666666666666667,1,1,1,0.833333333333333,1,1,0.833333333333333,1,1,1,0.833333333333333,1,1,1,0.666666666666667,1,0.666666666666667,1,1,0.866666666666667
"stu_cb47c8468d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"stu_2e9c745233",1,1,1,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.888888888888889,0.777777777777778
"stu_2f0770ed7b",1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1
"stu_083e1be72b",1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,0.75,1,1,0.923076923076923
"stu_4fef9f1322",1,1,1,0.75,1,1,0.833333333333333,1,1,1,0.833333333333333,1,1,0.833333333333333,1,1,1,1,0.666666666666667,1,1,1,1,1,1,0.923076923076923,1
"stu_a554e590da",1,1,0.75,0.5,0.6,0.6,0.8,0.8,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.576923076923077
"stu_1b99d34093.2",1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875
"stu_f2a41dfffb.1",0.8,0.8,0.75,1,0.75,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,0.863636363636364,0.863636363636364
"stu_5e8aa8a0a7",1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.75,1,1,1,1,1,0.75,1,1,1,0.875,0.75
"stu_9a90022fe6",1,0.5,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,0.5,1,1,0.666666666666667,0.6,1,1,1,0.923076923076923,1
"stu_3674e2ad2f",1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.75,1,1,1,1,0.818181818181818
"stu_d4879bfbcc",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_0649ad56bd.1",1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.923076923076923,0.923076923076923
"stu_cb92ca8b85",1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,0.923076923076923
"stu_ff2b4010d4",1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.909090909090909,1
"stu_65d1d1ea42",1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.818181818181818,0.909090909090909
"stu_9fc0247882",1,0.75,0.625,1,1,1,1,1,1,1,1,1,1,1,1,1,0.888888888888889,1,1,1,1,1,1,1,1,0.9375,0.6875
"stu_190dd4dd39",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_334694cee9",1,0.666666666666667,1,0.7,0.833333333333333,0.666666666666667,0.9,1,1,1,1,1,1,1,1,1,1,1,0.7,1,1,0.8,0.666666666666667,1,1,0.692307692307692,0.576923076923077
"stu_2b3797e2aa",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1
"stu_88aef2b629",1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_5590a14911",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.75,1,0.727272727272727,0.636363636363636
"stu_c940c9e008",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_da7bdb5f9e",0.75,0.833333333333333,0.5,1,1,1,1,1,0.833333333333333,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,0.666666666666667,0.666666666666667,1,1,0.952380952380952,0.904761904761905
"stu_b1a8260767",1,1,0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_409c63f1d9",0.75,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.866666666666667,0.866666666666667
"stu_7e9bd90af5.1",1,1,0.75,1,1,1,0.6,1,1,1,0.833333333333333,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_e704a93b13",1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333,0.866666666666667
"stu_e3465a8c4f",1,1,1,0.857142857142857,1,1,0.833333333333333,1,1,1,0.571428571428571,1,1,0.857142857142857,1,0.8,1,0.8,0.857142857142857,1,1,1,1,0.833333333333333,1,1,1
"stu_52855bc6b6",1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,0.666666666666667,1,0.833333333333333,1,0.923076923076923,0.923076923076923
"stu_ac06bdf217",1,1,1,0.714285714285714,1,0.75,1,1,1,1,0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.736842105263158,0.736842105263158
